id(integer),projectFolderName(string),startFile(string),solutionFile(string),soundFileName(string),soundText(string),checkText(string),hints(string)
1,One clip at a time Project,One clip at a time.als,One clip at a time.als,,,Play the *§D1 clip* on the Drums track.,*§Play clip:* Play icon to the left of clip name.
2,One clip at a time Project,One clip at a time.als,One clip at a time.als,,,Play the *§D3 clip*,*§Play clip:* Play icon to the left of clip name.
3,One clip at a time Project,One clip at a time.als,One clip at a time.als,One clip at a time 1,Target sound,In the exercise project *§play the clip* that matches the *§target sound*,Not D2|Not D4|Not D3|Play D1
4,One clip at a time Project,One clip at a time.als,One clip at a time.als,One clip at a time 2,Target sound,*§Play clip* that matches the *§target sound*,Not D1.|Not D3.|Not D4 clip.|Play D2.
5,One clip at a time Project,One clip at a time.als,One clip at a time.als,One clip at a time 4,Target sound,*§Play clip* that matches the *§target sound*,Play the D4 clip.
6,Multiple tracks playback Project,Multiple tracks playback.als,Multiple tracks playback.als,,,Play *§D1* and *§B2* clips,*§Play clip:* Play button inside clip.|*§Stop track clips:* Any stop button in track.|*§Stop all clips:* Stop button in master track.
7,Multiple tracks playback Project,Multiple tracks playback.als,Multiple tracks playback.als,,,Play *§B3* and *§C3* clips,*§Play clip:* Play button inside clip.|*§Stop track clips:* Any stop button in track.|*§Stop all clips:* Stop button in master track.
8,Multiple tracks playback Project,Multiple tracks playback.als,Multiple tracks playback.als,,,Play First *§scene*,*§Launch Scene:* Press play icon next to scene name.
9,Multiple tracks playback Project,Multiple tracks playback.als,Multiple tracks playback.als,Multiple tracks playback 4,Target clips,Play *§clip(s)* you hear in *§target sound*,Only Drums and Church Bells tracks have clips playing|D3 - C2
10,Multiple tracks playback Project,Multiple tracks playback.als,Multiple tracks playback.als,Multiple tracks playback 5,Target scene,Play *§scene* you hear in *§target sound*,Not First scene|Not Second scene|Play Third scene clips
11,Multiple tracks playback Project,Multiple tracks playback.als,Multiple tracks playback.als,Multiple tracks playback 6,Target clips,Play *§clip(s)* you hear in *§target sound*,No clips playing on Church Bells|Play D2 and …|B3
12,Timing clips Project,Timing clips.als,Timing clips.als,,,Launch D3 & B2...|So they start simultaneously,
13,Timing clips Project,Timing clips.als,Timing clips.als,,,Launch B1 & L2...|So they start simultaneously,
14,Timing clips Project,Timing clips.als,Timing clips.als,Timing clips 3,Target clips,Play clips you hear...|So they start simultaneously,Only Drums and Leads are playing|D2. A1
15,Timing clips Project,Timing clips.als,Timing clips.als,Timing clips 4,Target clips,Play clips you hear...|So they start simultaneously,Clips are playing on three tracks|D3. B1. A1
16,Timing clips Project,Timing clips.als,Timing clips.als,Timing clips 5,Target clips,Play clips you hear...|So they start simultaneously,Clips are playing on three tracks|B2. L3. A1
17,Stock clips Project,Stock clips 1.als,Stock clips 2.als,,,*§Rename* track to *§1 Drums*|Add *§Elektro Straight 126 bpm* stock clip to *§all three scenes*|Play *§C minor* scene,*§Rename Track:* Right click on track. Choose Rename.|*§Add clip:* Open browser. Select Samples. Scroll to sample name or use Search. Drag to track on scene row.
